03:22:30.6308058	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-41-00-E3
03:22:35.8018955	 from:127.0.0.1:43312 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:22:35.8900131	 From:192.168.166.54:41796 To:127.0.0.1:43312	 0E-00-02-00-00
03:22:36.8456387	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-39-00-C9
03:22:36.8456387	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-39-00-C9
03:22:38.5686432	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-3B-00-EF
03:22:38.5686432	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-3B-00-EF
03:22:41.7715774	 from:127.0.0.1:43309 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:22:41.7921785	 From:192.168.166.54:41796 To:127.0.0.1:43309	 0E-00-02-00-00
03:22:44.7409564	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-41-00-E4
03:22:44.7409564	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-41-00-E4
03:22:50.8319924	 from:127.0.0.1:43312 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:22:50.8538966	 From:192.168.166.54:41796 To:127.0.0.1:43312	 0E-00-02-00-00
03:22:53.6553008	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-30-FF-F1
03:22:53.6571972	 From:192.168.166.54:41796 To:127.0.0.1:43312	 05-00-08-00-00-05-14-00-65-00-06
03:22:53.6571972	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-30-FF-F1
03:22:53.6571972	 From:192.168.166.54:41796 To:127.0.0.1:43309	 05-00-08-00-00-05-14-00-65-00-06
03:22:56.7667745	 from:127.0.0.1:43309 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:22:56.7877857	 From:192.168.166.54:41796 To:127.0.0.1:43309	 0E-00-02-00-00
