03:36:24.3948753	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-30-FF-EE
03:36:25.6676098	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:36:25.6894068	 From:192.168.166.54:41796 To:127.0.0.1:43439	 0E-00-02-00-00
03:36:28.2151340	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-39-00-CA
03:36:29.9862123	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-3B-00-EE
03:36:32.6392089	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-3E-00-E6
03:36:35.2867193	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-45-00-DA
03:36:40.6674910	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:36:40.6941517	 From:192.168.166.54:41796 To:127.0.0.1:43439	 0E-00-02-00-00
03:36:42.3392689	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-39-00-C9
03:36:46.7499941	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-3E-00-E7
03:36:49.4034061	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-45-00-DB
03:36:55.6676246	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:36:55.7835922	 From:192.168.166.54:41796 To:127.0.0.1:43439	 0E-00-02-00-00
03:36:56.4504092	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-39-00-CA
03:37:02.6181715	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-40-00-E1
03:37:10.5499285	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-39-00-C9
03:37:10.6681496	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 0D-00-02-00-00
03:37:10.6885021	 From:192.168.166.54:41796 To:127.0.0.1:43439	 0E-00-02-00-00
03:37:13.3259553	 From:192.168.166.54:41796 To:127.0.0.1:43439	 12-00-26-00-00-00-22-34-00-04-07-4A-00-6F-00-73-00-65-00-66-00-20-00-2F-00-20-00-4A-00-6F-00-73-00-65-00-66-00-61-00-0D-00
03:37:13.3259553	 From:192.168.166.54:41796 To:127.0.0.1:43439	 12-00-28-00-00-00-24-34-00-03-07-30-00-33-00-3A-00-33-00-37-00-20-00-31-00-39-00-2E-00-30-00-33-00-2E-00-32-00-30-00-32-00-35-00
03:37:13.3269091	 From:192.168.166.54:41796 To:127.0.0.1:43439	 12-00-1C-00-00-00-18-34-00-01-07-31-00-39-00-2E-00-30-00-33-00-2E-00-32-00-30-00-32-00-35-00
03:37:13.3279114	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-65-00-13
03:37:13.3476150	 From:192.168.166.54:41796 To:127.0.0.1:43439	 12-00-38-00-00-00-34-34-00-02-07-53-00-74-00-59-01-65-00-64-00-61-00-2C-00-20-00-31-00-39-00-2E-00-20-00-42-00-59-01-65-00-7A-00-65-00-6E-00-2E-00-20-00-32-00-30-00-32-00-35-00
03:37:14.4436827	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-04-02-07-AE
03:37:14.4436827	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-04-03-82-8E
03:37:16.7233021	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-00-40-00-E2
03:37:24.4575831	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-04-02-05-1E
03:37:24.4585631	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-08-00-00-05-14-04-03-82-8E
03:37:24.9853634	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 05-00-06-00-00-03-27-20-00
03:37:25.0104122	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-06-00-00-03-00-20-00
03:37:25.0114353	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-06-00-00-03-00-4F-80
03:37:25.0114353	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-06-00-00-03-00-52-00
03:37:25.0946981	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 05-00-06-00-00-03-27-20-80
03:37:27.3324677	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 05-00-06-00-00-03-27-27-00
03:37:27.3528907	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-06-00-00-03-00-20-80
03:37:27.3538866	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-06-00-00-03-00-27-00
03:37:27.3538866	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-06-00-00-03-00-E8-03
03:37:27.3538866	 From:192.168.166.54:41796 To:127.0.0.1:43439	 05-00-06-00-00-03-00-52-80
03:37:27.4967565	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 05-00-06-00-00-03-27-27-80
03:37:27.5168840	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 05-00-06-00-00-03-00-02-80
03:37:27.5337554	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 05-00-06-00-00-03-00-27-00
03:37:27.5506157	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 05-00-06-00-00-03-27-00-80
03:37:27.5677430	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 05-00-06-00-00-03-27-01-80
03:37:27.5843210	 from:127.0.0.1:43439 ToSSL:192.168.166.54:41796	 05-00-06-00-00-03-27-02-80
